Fecha;Item;Cajas
2021-02-23;SNACKS;2
2021-02-12;SNACKS;0.08
2021-02-22;SNACKS;1
2021-02-25;SNACKS;1
2021-02-24;SNACKS;1
2021-02-03;SNACKS;1
2021-02-10;SNACKS;0.25
2021-02-04;OREO;1
2021-02-10;OREO;3
2021-02-26;OREO;0.17
2021-02-23;OREO;1
2021-02-22;OREO;3
2021-02-25;OREO;1
2021-02-25;OREO;1
2021-02-25;OREO;1
2021-02-25;WAFFER;1
2021-02-25;WAFFER;1
2021-02-25;WAFFER;1
2021-02-23;WAFFER;2
2021-02-22;WAFFER;4
2021-02-19;CHIPS;0.67
2021-02-04;CHIPS;1
2021-02-22;SNACKS;4
2021-02-23;SNACKS;2
2021-02-25;SNACKS;1
2021-02-25;SNACKS;1
2021-02-25;SNACKS;1
2021-03-03;SNACKS;2
2021-03-03;CHIPS;2
2021-03-03;WAFFER;2
2021-03-03;OREO;2
2021-03-03;OREO;5
2021-03-03;WAFFER;10
2021-03-03;CHIPS;5.67
2021-03-03;SNACKS;6.92
2021-03-04;CHIPS;2
2021-03-04;OREO;1
2021-03-04;WAFFER;1
2021-03-04;CHIPS;1
2021-03-04;OREO;1
2021-03-04;OREO;1
2021-03-04;OREO;1
2021-03-04;OREO;1
2021-03-12;WAFFER;0.5
2021-03-12;CHIPS;0.5
2021-03-15;OREO;2
2021-03-15;WAFFER;1
2021-03-15;CHIPS;1
2021-03-15;SNACKS;0.25
2021-03-15;WAFFER;0.08
2021-03-17;SNACKS;1
2021-03-17;CHIPS;1
2021-03-17;OREO;1
2021-03-17;OREO;1
2021-03-17;CHIPS;1
2021-03-17;CHIPS;1
2021-03-17;OREO;1
2021-03-17;SNACKS;0.17
2021-03-17;OREO;0.08
2021-03-17;OREO;0.5
2021-03-17;WAFFER;3
2021-03-17;CHIPS;0.5
2021-03-17;OREO;3
2021-03-17;OREO;0.5
2021-03-17;WAFFER;1
2021-03-17;OREO;0.17
2021-03-17;OREO;1
2021-03-17;WAFFER;1
2021-03-17;CHIPS;1
2021-03-17;SNACKS;1
2021-03-17;WAFFER;3
2021-03-17;OREO;3
2021-03-18;OREO;0.5
2021-03-18;WAFFER;0.42
2021-03-18;OREO;0.21
2021-03-18;OREO;0.17
2021-03-18;OREO;1
2021-03-18;CHIPS;1
2021-03-19;OREO;1
2021-03-19;WAFFER;1
2021-03-19;SNACKS;1
2021-03-19;WAFFER;0.67
2021-03-19;CHIPS;0.83
2021-03-22;WAFFER;1
2021-03-22;OREO;1
2021-03-22;CHIPS;1
2021-03-22;WAFFER;1
2021-03-22;OREO;1
2021-03-22;WAFFER;1
2021-03-22;OREO;2
2021-03-23;OREO;1
2021-03-23;WAFFER;1
2021-03-23;CHIPS;1
2021-03-23;SNACKS;1
2021-03-23;OREO;4
2021-03-23;WAFFER;1
2021-03-23;OREO;2
2021-03-23;WAFFER;1
2021-03-23;CHIPS;1
2021-03-24;CHIPS;1
2021-03-25;CHIPS;1
2021-03-25;SNACKS;1
2021-03-25;CHIPS;0.83
2021-03-25;WAFFER;0.83
2021-03-25;SNACKS;0.83
2021-03-26;CHIPS;0.83
2021-03-29;OREO;0.25
2021-03-29;WAFFER;0.5
2021-03-29;CHIPS;0.5
2021-03-29;SNACKS;0.5
2021-03-31;OREO;0.08
2021-03-10;CHIPS;0.5
2021-03-17;WAFFER;3
2021-03-17;CHIPS;0.5
2021-03-17;OREO;3
2021-03-18;OREO;0.17
2021-04-07;OREO;0.33
2021-04-07;WAFFER;0.67
